,Date,Time,CMP10_GHI_Avg,CMP10_DHI_Avg,CHP1_DNI_Avg,Tilt,T2,T3,T1,T4,Flow,Efficiency,Clearness,Incidence Angle,ZenDeg,AzDeg
34,2023-02-02,09:34:00,263.0878,257.8858,7.963507,245.46271186440683,33.96610169491525,32.20762711864407,18.699152542372882,18.097457627118644,0.8000000000000002,0.6283708746973381,0.4282076159381808,50.165495286673995,65.01,129.1
35,2023-02-02,09:35:00,241.0958,236.4595,7.764473,221.16949152542372,34.313559322033896,32.83898305084746,18.843220338983052,18.199152542372882,0.8000000000000002,0.5847740248216791,0.40638274534737373,49.93768453922393,64.84,129.3
36,2023-02-02,09:36:00,240.4107,236.0117,6.748272,208.31525423728814,34.639830508474574,33.33898305084746,18.81779661016949,18.241525423728813,0.8000000000000002,0.5476916988691619,0.4027470009341539,49.71004214795216,64.67,129.5
37,2023-02-02,09:37:00,239.7688,235.9637,6.542387,212.31694915254238,35.04237288135593,33.69915254237288,18.78813559322034,18.322033898305083,0.8000000000000002,0.5548562399755177,0.382293351876946,49.482570560068,64.5,129.7
38,2023-02-02,09:38:00,218.8424,215.4996,4.85456,214.34237288135594,35.45762711864407,34.16949152542373,18.834745762711865,18.415254237288135,0.8000000000000002,0.5270567316769083,0.35554495750388126,49.255272265142395,64.33,129.9
39,2023-02-02,09:39:00,210.2903,207.8409,3.547214,227.61186440677966,35.69491525423729,34.49152542372882,18.838983050847457,18.52542372881356,0.8000000000000002,0.46366780055557266,0.34857024510501455,49.02814979601151,64.17,130.1
40,2023-02-02,09:40:00,212.9719,210.4906,3.862408,250.95084745762713,35.91949152542373,34.728813559322035,18.74576271186441,18.529661016949152,0.8000000000000002,0.4160970616215435,0.34936137581498816,48.80120572970234,64,130.3
41,2023-02-02,09:41:00,213.7937,211.1598,3.426751,270.5220338983051,36.21610169491525,35.110169491525426,18.89406779661017,18.516949152542374,0.8000000000000002,0.3585137656156533,0.3565301386077597,48.57444268838002,63.84,130.4
42,2023-02-02,09:42:00,224.3128,221.2986,3.23862,269.1898305084746,36.5,35.398305084745765,19.02542372881356,18.733050847457626,0.8000000000000002,0.35890176801925056,0.38012178995645407,48.34786334031832,63.67,130.6
43,2023-02-02,09:43:00,245.5262,240.8909,7.005501,264.9966101694915,36.902542372881356,35.69915254237288,19.076271186440678,18.758474576271187,0.8000000000000002,0.3982271836726919,0.40759203735063226,48.12147040089284,63.51,130.8
44,2023-02-02,09:44:00,261.195,257.0393,6.662492,257.8474576271187,37.279661016949156,35.88559322033898,19.16949152542373,18.75,0.8000000000000002,0.4741110308095622,0.4214603515613296,47.89526663359879,63.34,131
45,2023-02-02,09:45:00,265.7821,261.7835,6.1346,259.0118644067797,37.66525423728814,36.271186440677965,19.14830508474576,18.86864406779661,0.8000000000000002,0.47197149677150213,0.4204260003336861,47.66925485109252,63.18,131.2
46,2023-02-02,09:46:00,262.8957,258.7859,6.214626,259.43220338983053,38.08474576271186,36.63559322033898,19.20762711864407,18.911016949152543,0.8000000000000002,0.48981828645916514,0.41193399107559553,47.44343791625895,63.02,131.4
47,2023-02-02,09:47:00,258.024,253.9486,5.904365,256.82203389830505,38.529661016949156,37.1271186440678,19.453389830508474,19.046610169491526,0.8000000000000002,0.47887415519095405,0.40654476582986043,47.217818743304235,62.85,131.6
48,2023-02-02,09:48:00,258.9499,255.6338,4.633505,245.9966101694915,38.83474576271186,37.53389830508475,19.470338983050848,19.21186440677966,0.8000000000000002,0.46369271525404687,0.4073077364974856,46.99240029887501,62.69,131.8
49,2023-02-02,09:49:00,261.8558,258.863,4.765452,231.06440677966097,39.186440677966104,37.855932203389834,19.58050847457627,19.338983050847457,0.8000000000000002,0.5049098755716804,0.4046643421365488,46.76718560320511,62.53,132
50,2023-02-02,09:50:00,258.3999,255.6308,4.313022,216.9915254237288,39.52542372881356,38.190677966101696,19.758474576271187,19.39406779661017,0.8000000000000002,0.5393638710153793,0.39292451088421454,46.54217773128961,62.37,132.2
51,2023-02-02,09:51:00,249.4977,246.7938,4.326348,210.17627118644066,39.97457627118644,38.644067796610166,19.860169491525422,19.614406779661017,0.8000000000000002,0.5550813328691772,0.3749427776239501,46.31737981408796,62.21,132.4
52,2023-02-02,09:52:00,237.7544,235.3991,3.634114,219.38983050847457,40.25423728813559,38.95762711864407,19.83050847457627,19.72457627118644,0.8000000000000002,0.5182196396520699,0.35650760407944265,46.0927950397559,62.05,132.6
53,2023-02-02,09:53:00,227.999,225.772,2.818247,233.41186440677964,40.5,39.32203389830509,19.940677966101696,19.79237288135593,0.8000000000000002,0.44251645904262493,0.3430285243851212,45.868426654907964,61.89,132.8
54,2023-02-02,09:54:00,222.4992,219.9654,3.583723,249.3864406779661,40.686440677966104,39.644067796610166,20.093220338983052,19.872881355932204,0.8000000000000002,0.366495807042966,0.3430815875604098,45.64427796591024,61.73,133
55,2023-02-02,09:55:00,230.4121,227.1675,4.073933,257.2983050847457,40.94491525423729,39.91101694915254,20.216101694915253,19.9364406779661,0.8000000000000002,0.3523377419420862,0.35654814215446756,45.42035234020537,61.57,133.2
56,2023-02-02,09:56:00,242.7004,239.2977,4.475951,240.4915254237288,41.271186440677965,40.13135593220339,20.36864406779661,20.08050847457627,0.8000000000000002,0.4155838463454033,0.37624476478877755,45.196653207669385,61.41,133.4
57,2023-02-02,09:57:00,259.0931,255.3293,3.747809,233.85932203389828,41.54237288135593,40.38135593220339,19.966101694915253,20.127118644067796,0.8000000000000002,0.4353135734033622,0.3834270194187087,44.97318406200224,61.26,133.6
58,2023-02-02,09:58:00,254.8602,251.5152,3.060335,234.6491525423729,41.88135593220339,40.601694915254235,20.04237288135593,20.25,0.8000000000000002,0.47818379786209164,0.37159812741311915,44.7499484621522,61.1,133.8
